#Cluster EXTVER SPECID SNR_8000_VAR SNR_8000_RMS SNR_8200_VAR SNR_8200_RMS SNR_8400_VAR SNR_8400_RMS SNR_8600_VAR SNR_8600_RMS SNR_8800_VAR SNR_8800_RMS SNR_9000_VAR SNR_9000_RMS SNR_9200_VAR SNR_9200_RMS SNR_9400_VAR SNR_9400_RMS SNR_9600_VAR SNR_9600_RMS SNR_9800_VAR SNR_9800_RMS 
SpARCS1616 196 210040815 1.363273 1.318377 1.368080 1.479520 1.210740 1.190417 nan 1.110870 nan 0.902521 nan 0.932627 nan 0.584722 nan 0.614469 nan 0.720439 -0.027904 1.613885 
SpARCS1616 197 210040832 4.104310 0.809217 3.262067 2.908610 2.706882 2.712664 nan 2.027076 nan 1.683237 nan 1.795427 2.214149 1.394809 nan 1.234429 nan 1.762032 0.000000 2522875133466332.000000 
SpARCS1616 178 210041419 2.665039 2.846200 3.115817 3.423822 2.321121 2.375537 2.030761 1.793288 1.810508 1.919961 nan 2.191424 nan 1.451375 nan 1.167214 nan 1.170531 0.000000 7495394600324874.000000 
SpARCS1616 192 210040731 2.047399 1.182638 2.391119 1.259771 1.645144 1.562730 1.569771 1.621184 nan 1.305861 nan 1.360054 nan 1.612541 nan 1.237442 nan 1.002490 0.005499 67.262901 
SpARCS1616 60 110002155 3.778247 3.470550 4.188279 3.345836 5.950777 1.359638 6.211140 1.611912 4.562496 2.898050 6.995385 3.671980 7.855328 4.093435 5.579043 3.452612 5.129094 3.501130 3.945140 1.975108 
SpARCS1616 202 210051114 36.506657 24.695313 37.558540 33.628091 33.412730 28.416169 28.095075 23.413069 22.461293 17.447086 24.902363 16.824314 23.414999 10.242277 14.930932 6.700870 7.705909 8.791909 1.947379 16.490806 
SpARCS1616 208 210051324 2.957449 2.674818 3.197140 2.725060 2.536225 2.441549 1.891650 1.710469 1.319718 1.178903 1.741182 1.428954 nan 1.003049 nan 0.521093 nan 0.191044 nan 0.138241 
SpARCS1616 212 210051557 3.482501 2.976916 3.955791 2.043466 3.102570 1.699853 nan 1.730395 nan 1.608946 1.999000 1.950006 nan 0.820424 nan 0.471810 nan 0.744035 nan 1.764435 
SpARCS1616 150 210031552 26.075583 9.954863 27.311301 8.777633 22.682924 14.338751 18.973569 17.979150 14.703448 13.621406 15.833864 15.442936 15.341507 8.330868 9.099596 5.374471 6.699522 6.642146 nan 2.114508 
SpARCS1616 199 210040861 9.845134 1.499354 11.609544 1.696863 9.231814 6.714367 8.604774 7.218801 6.759654 8.074109 7.627737 8.619706 8.298932 3.892584 nan 2.881326 nan 5.228956 0.000001 7769123683388057.000000 
SpARCS1616 136 210020914 6.355209 3.566863 6.855305 3.415381 5.776411 4.373618 4.539999 3.872822 3.411679 3.324864 3.699106 3.423383 3.579856 1.497018 nan 0.812504 nan 0.983144 0.000000 4216416605162155.500000 
SpARCS1616 44 110001757 9.353732 6.761576 10.875604 7.210379 9.361107 4.669516 8.119609 3.724300 7.599772 4.000703 13.240519 5.129553 16.534231 6.312171 11.918801 5.718530 9.392120 5.260262 8.062325 3.831519 
SpARCS1616 226 210050655 2.819211 0.801803 3.522892 1.235295 2.644439 2.689101 nan 2.185363 nan 1.656128 nan 1.846249 nan 1.228303 nan 0.616015 nan 0.511767 nan 0.353390 
SpARCS1616 228 210050715 3.192906 2.762341 3.834813 3.006181 3.395507 2.959646 3.082791 2.611182 2.583356 2.247622 3.414127 2.822874 nan 2.690849 nan 1.499940 nan 1.290911 0.616618 1.736628 
SpARCS1616 86 210010635 3.868349 3.243938 4.860321 3.512861 4.442774 3.199697 4.475017 3.487007 3.576725 3.299130 4.055747 3.843760 nan 2.822600 nan 1.904307 1.774947 1.842764 0.816602 2.015649 
SpARCS1616 103 210010902 9.129587 7.634781 9.470605 5.589737 7.433730 5.676906 6.642116 5.182322 5.075213 4.052491 5.500026 2.715670 nan 1.539634 nan 1.190172 1.242087 1.403931 0.000001 2557345779849815.000000 
SpARCS1616 123 210020710 4.686540 4.558471 5.216708 4.599235 4.310058 4.173561 3.484449 3.249580 2.584757 2.525698 2.980873 2.814877 nan 1.876892 nan 1.767562 nan 2.050189 0.062041 5.943307 
SpARCS1616 37 110001585 5.176693 3.647664 5.096419 3.714890 3.964944 3.366398 3.863224 3.694105 3.408377 2.909802 4.296316 2.798417 4.816832 1.878683 4.049604 1.618094 3.647938 1.833575 2.969526 1.611394 
SpARCS1616 132 210020834 2.886353 2.703345 3.272917 2.943239 2.837522 2.324976 3.052548 2.406090 2.863242 2.688683 3.242613 2.860421 nan 2.362955 nan 1.629199 nan 1.639860 nan 1.558797 
SpARCS1616 177 210041335 10.678340 10.829039 11.384271 10.609773 9.328151 6.398609 8.084474 4.824952 6.559766 4.043449 7.103391 4.311871 7.074142 5.198800 nan 3.878376 nan 5.031759 0.000002 2638772612971940.000000 
SpARCS1616 55 110002064 3.598391 2.858573 4.140024 2.530878 4.527255 2.686466 4.765229 2.818613 4.583455 2.615136 4.956389 2.568603 5.238441 2.636240 4.462442 2.407233 4.274451 2.775838 3.843931 2.809500 
SpARCS1616 47 110001808 3.496014 2.052004 4.408001 2.289044 4.798049 2.493227 5.209332 2.544868 4.924257 2.496042 5.785855 2.906327 6.867019 1.700662 5.258094 1.608930 4.119758 1.740750 3.701621 1.952143 
SpARCS1616 138 210020966 2.943757 2.637871 3.936467 2.576478 3.630070 2.571235 3.484816 2.814435 2.916619 2.663217 3.368356 2.788348 nan 1.982564 nan 1.300994 nan 1.343249 nan 1.467395 
SpARCS1616 230 210050857 0.359969 0.248686 0.929689 0.766955 1.342943 1.256675 nan 1.261178 nan 0.861279 1.041084 0.909544 1.328248 0.887521 nan 0.377670 nan 0.189068 0.000000 1982579995258824.000000 
SpARCS1616 101 210010891 2.853379 2.523602 2.579232 1.870506 1.489638 1.391569 nan 1.238958 nan 0.644884 nan 0.394452 nan 0.268852 nan 0.054872 nan 0.426075 nan 1.848429 
SpARCS1616 108 210010990 3.526289 4.213892 3.907415 3.932814 3.169204 2.862722 2.746616 2.517666 nan 1.845106 nan 1.942226 nan 1.287115 nan 0.766902 nan 0.948496 nan 1.922449 
SpARCS1616 113 210021384 2.721119 3.037607 3.066556 3.240349 2.835402 2.567269 3.048645 2.325230 2.632525 2.234154 2.910572 2.430057 nan 1.779982 nan 1.455691 nan 1.706486 nan 1.447730 
SpARCS1616 148 210031330 2.612568 2.052227 3.182300 2.521437 2.696235 2.378657 2.727523 2.478379 nan 2.106729 nan 2.156634 nan 1.732980 nan 1.458942 nan 1.449637 nan 1.068993 
SpARCS1616 105 210010967 2.338187 2.446073 2.454354 2.139683 2.013331 1.887182 2.220381 2.567930 2.040883 2.176588 2.249629 2.105758 nan 1.411617 nan 1.157511 nan 1.323709 nan 1.375289 
SpARCS1616 109 210021238 14.577652 12.183836 15.849772 10.522880 14.270876 10.446110 12.413378 11.680822 9.557508 9.090055 10.515395 9.239659 10.060603 6.550363 5.884619 4.213108 2.737922 5.146783 0.590061 12.532723 
SpARCS1616 53 110002029 20.189877 12.547535 20.769094 12.705317 20.315037 12.559030 21.006899 12.433961 17.618397 11.680986 21.599802 13.198389 22.744884 12.206119 17.205215 10.022395 15.543193 9.557813 12.399217 7.333014 
SpARCS1616 50 110001971 3.545149 2.148608 4.785740 2.725013 4.789150 3.016439 4.971339 3.344881 4.477938 3.132926 5.067683 3.289751 5.883708 2.147087 4.754418 1.912338 3.752516 2.112647 3.090403 2.098915 
SpARCS1616 207 210051300 1.849183 0.440541 3.224513 1.005697 2.646815 2.010553 2.292730 1.681321 nan 1.602438 nan 1.870181 nan 0.974099 nan 0.641393 nan 0.487557 0.044487 0.614196 
SpARCS1616 52 110002028 16.211847 1.084795 16.004433 6.457914 14.086252 7.140633 13.725276 6.453333 11.156428 5.647017 12.400611 4.984483 12.749254 3.640587 8.257525 3.267091 5.973042 3.005276 4.213375 2.420588 
SpARCS1616 164 210030601 1.571102 1.160778 1.537065 1.546848 1.281887 1.342215 1.117467 1.192832 nan 0.723669 nan 0.716808 nan 0.425343 nan 0.166663 nan 0.440169 0.000000 2533434600691514.000000 
SpARCS1616 118 210020585 2.216714 3.161830 2.225856 2.131762 1.612633 1.440734 1.283797 0.987791 0.912409 0.935266 1.147547 1.311921 1.237781 0.716572 nan 0.425172 nan 0.797885 0.024870 5.996748 
SpARCS1616 115 210020550 3.332472 4.074144 3.568197 2.839752 2.869706 2.181514 2.761385 2.421472 2.199851 2.312481 2.228712 2.153169 nan 1.336395 nan 1.116601 nan 1.627741 0.000001 0.000000 
SpARCS1616 119 210020590 10.795141 2.279335 11.527894 2.143036 8.402153 6.719667 6.726477 5.853242 4.991249 5.128459 5.392527 4.829126 nan 3.062056 nan 2.422393 1.522263 3.112069 0.453535 7.113613 
SpARCS1616 121 210020669 2.876322 2.945527 3.361791 3.782983 3.046713 3.431479 3.265354 2.858034 nan 3.166874 nan 3.146444 nan 2.104948 nan 1.562380 nan 1.330441 nan 1.206373 
SpARCS1616 88 210010645 1.706447 1.479592 2.199221 1.921221 2.229383 2.273307 2.078383 1.790944 1.718939 1.672729 2.113348 2.034652 2.301066 1.367275 nan 1.082665 nan 1.034680 nan 1.520979 
SpARCS1616 29 110001350 5.035555 3.523507 5.529343 3.715666 5.097105 2.834733 5.705800 3.219450 5.205466 3.545278 7.201596 3.583349 9.119631 3.910696 6.987345 3.174397 6.062950 4.196114 5.340763 3.424451 
SpARCS1616 124 210020728 6.380143 6.322576 7.079093 5.806830 6.464191 4.290256 7.088048 3.804764 6.287486 5.505283 7.037310 5.515700 7.176614 3.997161 4.675031 3.398292 3.918794 3.222092 1.927799 1.990472 
SpARCS1616 193 210040751 3.788274 3.467023 4.318236 3.521800 3.745326 2.716043 4.165974 2.886282 3.601346 3.400472 4.034653 3.625693 nan 3.220739 nan 2.097141 nan 2.060377 nan 1.692268 
SpARCS1616 166 210030664 1.945604 1.502239 nan 2.046690 nan 1.931102 nan 1.679683 nan 1.689226 1.974123 2.080793 nan 1.197577 nan 0.758660 nan 0.761208 nan 0.893382 
SpARCS1616 91 210010691 4.752290 3.571679 5.280792 3.471387 4.191431 2.753634 4.724529 3.059019 4.303602 4.649228 4.748935 4.550529 4.790723 4.039262 2.845060 2.876144 nan 2.145726 nan 1.685047 
SpARCS1616 229 210050732 12.108680 9.738413 13.580704 9.425551 13.011404 9.071216 11.560954 10.648026 9.124169 8.175218 10.527462 7.671247 10.074608 5.962386 6.145584 4.506076 3.082646 4.552568 0.707457 8.216054 
SpARCS1616 93 210010744 2.336074 1.776515 2.523902 1.997612 2.079512 1.959697 1.891084 1.791394 1.579821 1.544901 1.826357 1.845897 1.670235 1.021097 nan 0.839108 nan 1.371227 0.000000 3433275993178227.500000 
SpARCS1616 194 210040773 3.241968 3.128095 3.917019 2.882685 3.374306 2.586682 3.558288 2.566285 3.515346 3.026466 3.851275 3.324037 3.757759 3.023062 nan 2.078766 nan 1.689096 0.150803 3.650409 
SpARCS1616 168 210030730 3.617657 3.354418 3.942207 3.250888 3.351402 2.570852 3.787760 2.593532 3.343107 3.497460 3.873338 3.766424 4.021439 2.238793 nan 1.313799 nan 1.189806 nan 1.059311 
SpARCS1616 94 210010747 3.041122 2.298329 3.676849 2.735173 2.959228 2.691158 3.023532 2.329387 2.980630 2.225413 3.053533 2.169869 2.935716 2.606867 nan 2.044932 nan 1.790948 nan 1.393955 
SpARCS1616 22 110001231 3.411562 3.488188 3.593490 2.541061 3.041491 2.185827 3.071200 2.448730 2.900941 2.114261 3.430666 2.278471 3.828655 1.856345 2.982874 1.748226 2.491089 1.947969 2.076800 1.817544 
SpARCS1616 24 110001286 4.850645 3.217670 5.737564 3.744503 5.221511 3.634765 4.972266 3.914080 4.559077 3.199768 5.278874 2.575228 6.130928 1.546462 4.484346 1.641078 3.218136 2.477782 2.736288 1.988793 
SpARCS1616 23 110001266 8.080043 4.861047 8.863061 5.211342 8.483589 4.385525 9.888492 4.160482 9.426770 5.691098 11.034433 6.197041 10.986199 5.134490 7.861402 3.946242 7.924462 3.689900 6.758949 3.152627 
SpARCS1616 160 210030505 1.955175 1.681343 1.991081 1.557449 1.584496 1.408186 2.080157 1.782982 nan 1.956233 nan 2.162312 nan 1.789841 nan 1.039740 nan 0.979020 nan 1.208828 
SpARCS1616 19 110001155 4.940068 1.993662 5.109466 2.181248 4.763299 2.161461 3.477215 1.851359 2.268556 1.193650 2.327564 1.007310 2.358917 0.782493 2.118093 0.779416 2.211539 1.073498 1.565810 0.711633 
SpARCS1616 26 110001307 3.402733 2.286021 4.127746 2.633416 4.459561 2.715747 4.967573 3.015521 4.773187 3.092884 6.657663 3.303717 7.368926 3.226545 5.178944 2.471421 4.870392 3.069688 4.450552 3.268442 
SpARCS1616 83 210010553 19.410328 13.036862 21.112086 12.313474 18.327780 10.679680 17.174558 9.854462 13.308877 9.389237 13.500127 11.361817 13.507066 8.067222 8.301663 6.419745 4.597384 8.949337 1.601502 17.923616 
SpARCS1616 165 210030619 25.889999 18.838182 27.476408 15.590666 23.545227 15.506557 20.317071 19.049201 15.340796 13.451950 16.644910 14.112475 17.304831 3.779721 10.768661 2.997948 4.435891 7.681880 0.940591 21.330069 
SpARCS1616 31 110001362 5.617713 3.118344 6.278553 2.609847 6.176514 2.952749 6.147829 3.742604 5.102680 2.744951 5.778312 2.727797 6.189993 2.387504 4.831376 2.028044 3.936715 1.771253 3.155467 1.659211 
SpARCS1616 30 110001354 9.572050 5.694607 10.768331 5.102361 9.687941 5.078674 8.418257 4.594551 6.892505 3.583754 8.041231 4.403275 9.176593 2.519149 7.051683 2.216975 5.131516 2.407278 3.742216 2.459829 
SpARCS1616 35 110001508 7.012165 4.142070 7.439435 4.130507 6.607117 3.433807 7.571604 3.658647 7.500933 4.459428 9.545194 5.309702 10.706029 2.726172 7.998000 2.628554 6.681310 3.852214 5.172296 3.020227 
SpARCS1616 126 210020736 3.076396 2.428762 3.593820 2.910279 3.688884 2.460899 3.822797 3.247494 3.028237 3.275084 3.663797 3.794122 nan 2.279108 nan 1.483556 nan 1.570243 0.000000 2609148750340657.000000 
SpARCS1616 186 210040662 19.537390 19.652629 21.113403 20.725269 18.081778 19.343623 15.669076 15.819491 12.217122 12.797708 12.861867 13.040153 13.121003 6.107236 7.848790 5.904820 2.493716 9.628100 0.000003 0.000000 
SpARCS1616 191 210040726 1.990993 1.978154 2.304251 2.203829 2.366207 2.173533 2.245012 2.099844 1.728237 1.731103 nan 1.825001 nan 1.414940 nan 1.169420 nan 1.180163 nan 1.324249 
SpARCS1616 36 110001512 3.460406 2.601556 3.358762 2.292601 2.873924 2.180808 2.530419 2.257601 2.333628 1.801671 2.603920 1.819265 2.714967 1.411916 2.155557 1.068595 2.115638 1.275666 1.716152 1.358945 
SpARCS1616 28 110001329 7.037315 4.617439 7.600948 3.870851 7.228546 2.070478 7.268377 2.081659 5.705585 4.227901 5.954828 4.035312 6.166678 3.272867 4.519778 2.406352 3.803264 2.701850 2.929756 1.610628 
SpARCS1616 187 210040668 2.428984 2.482818 2.961173 2.484611 2.535641 2.190828 2.171362 2.183153 nan 1.686017 nan 1.598515 nan 1.580593 nan 1.211585 0.094356 1.326238 0.000000 3849031079750884.500000 
SpARCS1616 33 110001443 10.629521 5.104633 10.772650 5.008677 9.180459 5.035716 8.092242 5.253675 6.751450 3.617698 7.379553 3.447650 7.617480 2.433416 5.693188 2.350281 4.422787 2.643095 3.018075 1.798752 
SpARCS1616 42 110001706 1.470493 1.256963 1.706560 1.060419 1.456924 0.988081 1.582914 1.178636 1.417610 1.174256 1.462089 1.439034 1.967938 1.462922 2.389127 1.425590 2.038717 0.969310 1.276007 0.520860 
SpARCS1616 41 110001702 5.505273 3.411544 6.118406 3.178513 5.345051 2.808850 5.160907 2.743755 4.416932 2.289783 4.480123 2.302419 5.162301 1.525638 4.049797 1.352107 2.341499 0.987781 1.307361 0.598340 
SpARCS1616 99 210010823 3.036583 2.217022 3.456157 2.961373 2.704718 2.377154 2.950581 2.388998 2.641302 2.441689 2.860194 2.642156 nan 1.985922 nan 1.507211 nan 1.304611 nan 1.403101 
SpARCS1616 174 210030930 2.220794 2.027637 nan 2.405569 nan 2.181120 nan 1.909550 nan 1.804667 1.803329 2.138081 1.835982 0.918775 nan 0.568322 nan 0.712961 0.233269 1.201646 
SpARCS1616 231 210050911 2.345194 1.951513 2.660369 2.075634 nan 1.852799 nan 1.924612 nan 2.226965 2.735856 2.445424 2.583779 1.377677 nan 1.012504 nan 1.374549 0.000000 6796186676435305.000000 
SpARCS1616 46 110001776 9.017370 2.664554 10.773656 3.052256 9.560421 4.985086 9.501556 5.154725 7.795617 4.722997 8.306438 5.050095 8.961454 3.246565 6.138200 2.556050 4.322764 2.418942 3.370025 1.884596 
SpARCS1616 195 210040800 3.620862 3.321507 4.026929 3.207205 3.646135 2.731733 4.065324 2.982422 3.509952 3.233170 3.880770 3.411677 nan 2.012881 nan 2.040661 nan 2.296572 nan 1.619802 
SpARCS1616 40 110001654 6.605825 3.924715 7.789803 3.865960 7.098938 3.060799 8.226631 3.203815 8.160112 5.187277 9.713960 5.822664 10.844035 4.807716 8.295480 3.322284 7.900259 3.777272 6.930644 3.046062 
SpARCS1616 171 210030825 4.797207 3.956201 5.199921 3.433373 4.533106 2.450679 5.181746 2.988078 4.536740 4.415675 5.198975 4.834102 nan 3.262484 nan 2.292658 nan 2.162283 1.208526 1.845534 
SpARCS1616 95 210010748 6.862794 5.499366 7.741894 4.133144 6.250118 3.231125 6.948971 3.375504 6.592007 6.387759 7.221853 7.006478 nan 4.534688 nan 3.270180 3.902166 3.469756 2.579394 2.291376 
SpARCS1616 128 210020765 8.746520 7.264055 9.845803 6.418834 8.765027 4.406364 9.349323 3.599024 8.738014 8.637752 9.044508 10.058901 9.109621 7.671950 6.210607 5.132828 4.835930 4.108073 2.380317 2.346089 
SpARCS1616 97 210010810 3.254710 2.700464 3.818958 2.376108 2.953643 2.223562 3.299731 2.409383 3.238656 3.400566 3.642689 3.710757 3.806888 2.786117 2.345450 2.207134 nan 1.798238 nan 1.386977 
SpARCS1616 131 210020820 2.468800 2.112540 2.619934 1.803133 2.310732 1.668823 2.724922 2.274325 2.330165 2.551426 2.561282 2.404115 2.669360 1.838763 nan 1.546642 nan 1.353892 nan 1.292226 
SpARCS1616 170 210030816 nan 1.206346 1.592188 1.261847 1.145103 0.825812 1.296418 1.087739 nan 1.156391 nan 1.137633 nan 0.881274 nan 0.451071 nan 0.322558 nan 0.234142 
SpARCS1616 135 210020873 3.168529 3.161784 3.822449 3.262591 3.569163 3.672602 3.276646 3.177857 3.215323 3.776051 3.003399 3.635783 2.636674 2.781213 1.934627 1.929361 nan 1.735689 nan 1.487094 
SpARCS1616 173 210030896 4.289067 3.577358 4.637955 3.396569 3.838803 2.530165 4.397346 2.438075 3.970159 3.846839 4.356423 3.988545 4.501469 3.397355 2.524804 2.419403 1.860063 2.068047 nan 1.654428 
SpARCS1616 198 210040846 24.827768 15.268507 25.939050 15.160754 21.785913 18.834250 18.572795 17.864797 14.620521 13.400151 15.751718 13.556813 15.737304 7.569045 9.141939 6.183736 2.834305 9.158015 0.000004 2937534512904956.000000 
SpARCS1616 200 210040923 1.147915 0.992171 1.367563 0.906069 1.135584 0.809224 1.325244 1.040274 nan 0.854957 nan 0.908730 nan 0.942262 nan 0.762594 0.057841 1.343871 0.000000 0.000000 
SpARCS1616 111 210021317 3.531657 3.095596 4.060764 2.477009 3.645387 2.582567 3.156255 3.346273 2.428782 2.295895 2.830921 2.363554 nan 1.995002 nan 1.483356 nan 1.902569 0.000000 1963030141820860.000000 
SpARCS1616 146 210031307 4.013712 3.099497 4.501456 3.055356 3.800987 2.350172 4.120304 2.808007 3.588051 4.115847 3.964902 4.139269 nan 2.431793 nan 1.448019 nan 1.531979 0.832281 1.794080 
SpARCS1616 82 210011362 3.086069 1.464930 3.763734 1.689803 3.414173 3.069673 3.184257 2.783468 2.291237 2.335905 2.465246 2.662298 2.507084 1.337499 nan 1.088349 nan 1.567096 0.031342 4.980923 
SpARCS1616 48 110001816 12.143153 5.048337 12.958381 5.559661 12.052620 7.584120 12.106111 8.925815 10.285671 4.814293 12.661409 5.001042 14.390825 8.186744 9.513382 3.561653 7.632610 3.617927 6.697624 4.478658 
SpARCS1616 209 210051341 2.133163 1.711737 2.132606 1.403165 1.688340 0.709573 1.175183 0.397527 nan 0.316182 nan 1.225856 1.672459 0.522065 nan 0.347891 nan 3.207587 0.000000 2792855545753668.000000 
SpARCS1616 81 210011344 2.994587 1.276023 3.618209 1.357415 2.737272 1.576753 2.784667 2.011645 2.079213 1.568555 1.909092 1.545541 nan 1.419491 nan 0.998984 nan 1.179488 0.000000 1962961087476319.750000 
SpARCS1616 49 110001887 5.038301 3.573890 5.635364 4.130463 4.589270 3.158796 4.637339 2.508287 4.142493 2.328831 5.227603 2.839598 5.952077 2.689126 4.604150 2.025524 4.474443 2.556876 4.185968 2.492110 
SpARCS1616 169 210030770 4.989207 4.183049 5.307606 3.595921 4.313657 2.711474 4.792005 2.671393 4.518367 4.111719 5.299562 4.968380 5.142600 2.953008 2.758306 1.959347 nan 2.157806 nan 2.058437 
SpARCS1616 38 110001603 6.321322 3.502022 7.611358 3.588922 6.510346 3.072696 7.013845 2.772924 7.558020 4.305391 8.766666 5.117792 9.570646 3.527758 7.423936 2.820041 6.666152 3.586738 5.558444 2.801644 
SpARCS1616 133 210020835 6.480145 5.443676 7.099394 4.746505 5.712711 3.649509 6.666506 2.791595 6.511503 5.083147 6.846324 6.419315 7.003994 5.703974 4.529859 4.382837 3.513710 3.484464 1.724175 2.174415 
SpARCS1616 43 110001724 6.352822 4.431765 6.799756 3.955687 6.860978 3.967725 6.563822 4.461052 6.043389 3.773504 6.697158 3.776585 7.567369 2.658061 6.177830 2.436913 4.877892 2.768734 3.946254 2.445843 
SpARCS1616 92 210010697 6.741660 4.978788 8.153934 4.417332 7.389581 3.626659 8.067039 3.467386 7.299568 5.504602 8.389297 6.013934 8.543175 5.736633 4.888392 4.680161 3.673321 3.883134 1.807235 2.351959 
SpARCS1616 100 210010838 3.704438 3.825493 4.129775 2.952469 3.703236 2.212587 4.129723 2.486840 3.520601 2.874960 4.054617 3.022641 nan 2.875075 nan 2.000800 nan 1.766812 0.828079 1.585790 
SpARCS1616 70 110002352 2.621331 2.025856 3.054507 2.977982 3.375921 2.478569 3.842586 1.997218 3.690206 1.990597 4.999692 2.474804 6.062487 2.867654 4.835377 2.856042 4.423878 3.002738 3.719179 2.099000 
SpARCS1616 71 110002361 2.944413 1.344408 3.726479 1.335961 4.225275 1.503435 4.131915 1.763633 3.250061 1.298881 4.267216 1.449331 5.240947 1.489966 3.377663 0.951940 2.187251 0.832240 2.087521 0.910578 
